model,seed,error,wall_s,in_tok,out_tok,prefill_tok_s,decode_tok_s,ttft_s,peak_vram_mib,n_raised,off_task_formatting,flagged_distractors,unexplained,fp_on_consistent_control
command-r-plus,42,,26.8,5360,6,213.5,4.2,25.26,85363,0,0,0,0,0
gemma4,42,,43.45,5253,2279,4072.1,54.2,1.29,3700,0,0,0,0,0
glm-4.5-air:q4,42,salvaged,1554.48,4926,24576,584.8,15.9,8.52,100337,0,0,0,0,0
gpt-oss:120b,42,,19.64,5099,581,1180.1,40.0,4.47,65041,1,0,0,1,1
gpt-oss:20b,42,,12.99,5099,596,3358.8,56.2,1.69,15032,0,0,0,0,0
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,42,,6.66,5108,138,1589.9,41.7,3.3,36743,1,0,0,0,1
llama4:scout,42,,25.39,4894,242,504.3,15.9,9.85,84597,6,0,0,6,6
magistral,42,,39.05,5251,450,1066.4,13.3,5.01,22170,5,0,0,2,5
mistral-small,42,,88.26,5251,1097,1073.0,13.2,4.96,20574,12,0,0,4,12
nemotron,42,,94.52,5071,358,332.2,4.5,15.34,68843,0,0,0,0,0
qwen3.5:122b-a10b-q4_K_M,42,empty response,1170.7,5460,24576,490.2,21.8,11.28,84281,0,0,0,0,0
qwen3.5:35b-a3b-bf16,42,empty response,907.05,5460,24576,723.5,28.3,7.66,72639,0,0,0,0,0
qwen3.6:27b,42,,767.92,5460,7936,589.0,10.6,9.4,25992,1,0,0,0,1
qwen3.6:35b-a3b-bf16,42,,368.19,5460,10690,735.7,30.8,7.6,72066,0,0,0,0,0
qwen3.6:35b-a3b-q4_K_M,42,,194.31,5460,9466,1379.5,53.3,4.09,26840,2,1,1,0,1
qwen3.6:35b-a3b-q8_0,42,,213.86,5460,8431,1267.7,42.5,4.44,40915,1,1,1,0,0
qwen3.8:27b,42,,305.83,5429,8632,774.7,28.9,7.01,17119,2,0,0,1,2
