model,seed,error,wall_s,in_tok,out_tok,prefill_tok_s,decode_tok_s,ttft_s,peak_vram_mib,n_items,correct,accuracy,answered_in_japanese,detail
command-r-plus,42,,294.25,8223,845,196.2,3.4,42.09,70963,10,8,0.8,10/10,J1:required_any;J7:required_any
gemma4,42,,60.35,7978,3187,4282.6,54.6,1.86,3259,10,9,0.9,10/10,J7:required_any2/required_any3
glm-4.5-air:q4,42,,71.9,7711,926,553.6,16.4,14.06,82289,10,8,0.8,10/10,J1:required_any;J7:required_any3
gpt-oss:120b,42,,36.14,7845,1077,1152.5,38.5,6.93,63818,10,7,0.7,10/10,J1:required_any;J3:required_any;J7:required_any3
gpt-oss:20b,42,salvaged,14.28,7845,609,3342.3,55.1,2.52,14193,10,0,0.0,0/10,J1:absent;J2:absent;J3:absent;J4:absent;J5:absent;J6:absent;J7:absent;J8:absent;J9:absent;J10:absent
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,42,salvaged,75.35,7819,2359,1363.0,34.1,5.83,33547,10,0,0.0,0/10,J1:absent;J2:absent;J3:absent;J4:absent;J5:absent;J6:absent;J7:absent;J8:absent;J9:absent;J10:absent
llama4:scout,42,salvaged,49.56,7617,466,419.2,15.2,18.37,74485,10,0,0.0,0/10,J1:absent;J2:absent;J3:absent;J4:absent;J5:absent;J6:absent;J7:absent;J8:absent;J9:absent;J10:absent
magistral,42,,75.91,8056,875,972.2,13.0,8.37,20574,10,7,0.7,10/10,J4:required_any2;J7:required_any/required_any2/required_any3;J10:90
mistral-small,42,,63.34,8056,713,988.0,13.0,8.24,20574,10,3,0.3,8/10,J1:required_any;J3:required_any;J4:required_any;J6:required_any2;J7:required_any/required_any3;J8:required_any;J9:required_any/required_any2/required_any3
nemotron,42,,180.77,7799,686,299.6,4.4,26.15,54443,10,8,0.8,10/10,J4:required_any/required_any2;J7:required_any/required_any2/required_any3
qwen3.5:122b-a10b-q4_K_M,42,,362.07,7984,7409,497.6,22.1,16.19,83259,10,8,0.8,10/10,J1:required_any;J7:required_any2/required_any3
qwen3.5:35b-a3b-bf16,42,,238.17,7984,6169,748.2,28.2,10.79,71619,10,9,0.9,10/10,J7:required_any3
qwen3.6:27b,42,,442.34,7984,4468,581.9,10.6,13.85,23572,10,10,1.0,10/10,
qwen3.6:35b-a3b-bf16,42,repaired,173.3,7984,4753,754.8,30.5,10.68,71046,10,8,0.8,10/10,J1:required_any;J7:required_any2/required_any3
qwen3.6:35b-a3b-q4_K_M,42,,92.73,7984,4245,1409.5,52.6,5.8,25820,10,9,0.9,10/10,J1:required_any
qwen3.6:35b-a3b-q8_0,42,,109.76,7984,4111,1299.1,42.1,6.25,39895,10,9,0.9,10/10,J7:required_any3
qwen3.8:27b,42,,67.39,7982,1844,793.0,32.4,10.07,16723,10,9,0.9,10/10,J7:required_any2/required_any3
